Airport,Degree,Strength,Clustering coefficient,Avgerage path length,Maximum path length,Betweeness,Eigenvector centrality,PageRank
AMS,192,9.524324875e-315,0.14283377,2.73134328,10,0.04049213,0.17150222,0.00397053
TBO,2,9.524325033e-315,1.0,4.58319514,12,0.0,0.00012311,0.000122
ADA,7,9.52432519e-315,0.71428571,3.63239359,11,1.317e-5,0.0106939,0.00018467
ZVA,1,9.5243263e-315,0.0,7.57517966,15,0.0,0.0,0.00013394
DJE,20,1.754276596e-315,0.7,3.57822001,11,0.00014586,0.03184926,0.000405
PAR,250,9.497380037e-315,0.08915663,2.68767275,10,0.09342038,0.1803367,0.00609169
FRA,237,9.52432535e-315,0.11696346,2.68214483,10,0.06557771,0.1955994,0.00491882
BCN,80,9.497380116e-315,0.32848101,3.27307905,11,0.0019323,0.08919432,0.00158248
ATL,172,9.524326456e-315,0.1378349,2.91542289,11,0.02489618,0.12197559,0.00377999
AGU,7,9.524326614e-315,0.76190476,3.6644555,11,5.76e-6,0.00512863,0.00019228
MOW,186,9.524326773e-315,0.09584423,2.87755666,10,0.05221081,0.11670104,0.00507382
CHC,20,9.497379326e-315,0.25263158,3.56522941,10,0.00336745,0.00418821,0.00084705
LON,242,9.524325824e-315,0.11234183,2.63515755,10,0.08498898,0.20040458,0.00521484
NYC,179,9.52432598e-315,0.15755445,2.70840243,11,0.06928349,0.1605246,0.00385891
WAW,55,9.497379405e-315,0.45858586,3.2435047,11,0.00155695,0.07523491,0.00114297
