Network,#nodes,#edges,Max degree,Min degree,Avg. degree,Avg. cluster coefficient,Assortativity,Avg. path length,Diameter
256_4_4_2_15_18_p,256,2274,23,15,8.8828125,0.7330611455563606,0.02862392046187278,2.771240234375,5
256_4_4_4_13_18_p,256,2299,25,10,8.98046875,0.5112995544610641,0.0006954016350808414,2.6407470703125,4
BA1000,1000,3990,115,4,3.99,0.03544876229813056,-0.05420735055404436,3.180096,5
ER1000k8,1000,3956,17,1,3.956,0.008042110177404293,-0.016833267357878948,3.566208,6
ER5000k8,5000,19980,17,4,3.996,0.001388896658896659,-0.055483602776557284,4.37886512,6
SF_1000_g2.5,1000,1905,30,2,1.905,0.009605040890072896,0.01998152186557376,4.610318,10
SF_1000_g2.7,1000,1668,24,2,1.668,0.0066504543070635405,-0.001960898955476207,5.463358,12
SF_1000_g3.0,1000,1517,26,2,1.517,0.005159194521023165,-0.00853880659775117,5.959098,13
SF_500_g2.7,500,859,22,2,1.718,0.007773809575357562,-0.02558588110228461,4.866184,12
homorand_N1000_K4_0,1000,2000,4,4,2.0,0.0019999999999999996,NaN,5.63436,9
homorand_N1000_K6_0,1000,2994,6,5,2.994,0.0038000000000000004,0.19190283400815342,4.187108,6
rb125,125,410,100,4,3.28,0.8372950558213714,-0.1729819598501203,2.2848,4
ws1000,1000,3000,13,3,3.0,0.004364840714840715,-0.09992885591125625,4.087212,6
ws2000,2000,6000,13,3,3.0,0.0033301587301587305,-0.07617895966625882,4.5088375,7
PGP,10680,24316,205,1,2.2767790262172283,0.2659452243010443,0.23821137170816226,7.484839158215152,24
airports_UW,3618,14142,250,1,3.9087893864013266,0.4957489312349576,0.04622413053190826,4.438367556603079,17
dolphins,62,159,12,1,2.564516129032258,0.2589582460550202,-0.04359402821531262,3.302809573361082,8
zachary_unwh,34,78,17,1,2.2941176470588234,0.5706384782076823,-0.47561309768461424,2.337370242214533,5
20x2+5x2,50,404,22,4,8.08,0.9715584415584416,0.9186473753688336,2.34,4
circle9,9,9,2,2,1.0,0.0,NaN,2.2222222222222223,4
graph3+1+3,7,8,3,2,1.1428571428571428,0.6666666666666667,-0.6,1.8775510204081634,4
graph4+4,8,13,4,3,1.625,0.875,-0.08333333333332812,1.625,3
grid-p-6x6,36,72,4,4,2.0,0.0,NaN,3.0,6
rb25,25,66,20,4,2.64,0.9023157894736837,-0.16352583586626143,1.952,4
star,9,8,8,1,0.8888888888888888,0.0,-1.0,1.5802469135802468,2
wheel,9,16,8,3,1.7777777777777777,0.6243386243386244,-0.3333333333333333,1.382716049382716,2
