FID,ID_RECORREGUT,CODI_PARADA,NOM_PARADA,DESC_PARADA,CODI_INTERC,NOM_INTERC,ADRECA,NOM_POBLACIO,NOM_DISTRICTE,NOM_VIA,ORDRE,DISTANCIA_PAR_ANTERIOR,ES_ORIGEN,ES_DESTI,ES_MAXINODE,ID_LINIA,CODI_LINIA,NOM_LINIA,DESC_LINIA,CODI_TRAJECTE,TIPUS_PAQUET,CODI_PAQUET,ORIGEN_TRAJECTE,DESTI_TRAJECTE,DESC_PAQUET,ID_OPERADOR,NOM_OPERADOR,CODI_FAMILIA,NOM_FAMILIA,ORDRE_FAMILIA,ORDRE_LINIA,ID_TIPUS_SERVEI,ID_TIPUS_RECORREGUT,ID_TIPUS_SUB_SERVEI,NOM_TIPUS_SUB_SERVEI,ID_SENTIT,SENTIT,DESC_SENTIT,ID_TIPUS_DIA,CALENDARI_EMULAT,DATA,COLOR_REC,GEOMETRY,PUNTS_PARADA
TRAJS_PAR_REC.fid-a0bf965_1809fdb150d_-30fc,3217529,1788,Trelawny - Av Litoral,Trelawny/Av. Litoral,5,Passeig Marítim,"Trelawny, 8",Barcelona,Ciutat Vella,Carrer de Trelawny,1,0,1,0,1,2999,220,D20,Pg. Marítim / Ernest Lluch,2200,1,220-220,Pg. Marítim,Ernest Lluch,Pg. Marítim / Ernest Lluch,2,TB,5,Diagonals,10,220,1,2,101,Sentit Comercial Anada,1,A,Anada,2,0,2022-05-07,93117E,POINT (2.1945985766131 41.38567185560935),1
TRAJS_PAR_REC.fid-a0bf965_1809fdb150d_-30fb,3217529,1284,Hospital del Mar,Pg.Marítim/Gas,0,,"Pg. Marítim, 23-31",Barcelona,Ciutat Vella,Passeig Marítim de la Barceloneta,2,648.3902,0,0,0,2999,220,D20,Pg. Marítim / Ernest Lluch,2200,1,220-220,Pg. Marítim,Ernest Lluch,Pg. Marítim / Ernest Lluch,2,TB,5,Diagonals,10,220,1,2,101,Sentit Comercial Anada,1,A,Anada,2,0,2022-05-07,93117E,POINT (2.194608732654252 41.38316891146904),1
TRAJS_PAR_REC.fid-a0bf965_1809fdb150d_-30fa,3217529,1282,Platja de la Barceloneta,Pg. Marítim/Pl. Brugada,0,,"Pg. Marítim, 9 ",Barcelona,Ciutat Vella,Passeig Marítim de la Barceloneta,3,350.20667,0,0,0,2999,220,D20,Pg. Marítim / Ernest Lluch,2200,1,220-220,Pg. Marítim,Ernest Lluch,Pg. Marítim / Ernest Lluch,2,TB,5,Diagonals,10,220,1,2,101,Sentit Comercial Anada,1,A,Anada,2,0,2022-05-07,93117E,POINT (2.192840833644306 41.38030795429388),1
TRAJS_PAR_REC.fid-a0bf965_1809fdb150d_-30f9,3217529,1604,Pg Marítim - Pepe Rubianes,Pg. Marítim/Pepe Rubianes,0,,"Pg Marítim, 5-9",Barcelona,Ciutat Vella,Passeig Marítim de la Barceloneta,4,141.49206,0,0,0,2999,220,D20,Pg. Marítim / Ernest Lluch,2200,1,220-220,Pg. Marítim,Ernest Lluch,Pg. Marítim / Ernest Lluch,2,TB,5,Diagonals,10,220,1,2,101,Sentit Comercial Anada,1,A,Anada,2,0,2022-05-07,93117E,POINT (2.1921322649692194 41.379150813364696),1
TRAJS_PAR_REC.fid-a0bf965_1809fdb150d_-30f8,3217529,3348,Pepe Rubianes,Pepe Rubianes/Baluard,0,,"Pepe Rubianes, 15-17",Barcelona,Ciutat Vella,Carrer de Pepe Rubianes,5,228.90432,0,0,0,2999,220,D20,Pg. Marítim / Ernest Lluch,2200,1,220-220,Pg. Marítim,Ernest Lluch,Pg. Marítim / Ernest Lluch,2,TB,5,Diagonals,10,220,1,2,101,Sentit Comercial Anada,1,A,Anada,2,0,2022-05-07,93117E,POINT (2.189690990569933 41.378432446156495),1
TRAJS_PAR_REC.fid-a0bf965_1809fdb150d_-30f7,3217529,955,Pg  Joan de Borbó,Pg. Joan de Borbó/Maquinista,0,,"Pg. J. Borbó, 16-18",Barcelona,Ciutat Vella,Passeig de Joan de Borbó Comte de Barcelona,6,353.94506,0,0,0,2999,220,D20,Pg. Marítim / Ernest Lluch,2200,1,220-220,Pg. Marítim,Ernest Lluch,Pg. Marítim / Ernest Lluch,2,TB,5,Diagonals,10,220,1,2,101,Sentit Comercial Anada,1,A,Anada,2,0,2022-05-07,93117E,POINT (2.1874331904520514 41.37999541040556),2
TRAJS_PAR_REC.fid-a0bf965_1809fdb150d_-30f6,3217529,1164,Pla de Palau - Pl Pau Vila,Pla del Palau/Marquesa,28,Pla de Palau,"Pla del Palau, 12-13",Barcelona,Ciutat Vella,Pla de Palau,7,378.55025,0,0,1,2999,220,D20,Pg. Marítim / Ernest Lluch,2200,1,220-220,Pg. Marítim,Ernest Lluch,Pg. Marítim / Ernest Lluch,2,TB,5,Diagonals,10,220,1,2,101,Sentit Comercial Anada,1,A,Anada,2,0,2022-05-07,93117E,POINT (2.1850045973391805 41.38255034318391),2
TRAJS_PAR_REC.fid-a0bf965_1809fdb150d_-30f5,3217529,255,Pg  Colom - Via Laietana,Pg. Colom/Via Laietana,17,Correus,"Pg. Colom, 6 (Dir. Llobregat)",Barcelona,Ciutat Vella,Passeig de Colom,8,471.92905,0,0,0,2999,220,D20,Pg. Marítim / Ernest Lluch,2200,1,220-220,Pg. Marítim,Ernest Lluch,Pg. Marítim / Ernest Lluch,2,TB,5,Diagonals,10,220,1,2,101,Sentit Comercial Anada,1,A,Anada,2,0,2022-05-07,93117E,POINT (2.1814749994933686 41.380453541797095),1
TRAJS_PAR_REC.fid-a0bf965_1809fdb150d_-30f4,3217529,256,Moll de la Fusta,Pg. Colom/Capitania General,0,,"Pg. Colom, 14 (Dir. Llobregat)",Barcelona,Ciutat Vella,Passeig de Colom,9,177.09655,0,0,0,2999,220,D20,Pg. Marítim / Ernest Lluch,2200,1,220-220,Pg. Marítim,Ernest Lluch,Pg. Marítim / Ernest Lluch,2,TB,5,Diagonals,10,220,1,2,101,Sentit Comercial Anada,1,A,Anada,2,0,2022-05-07,93117E,POINT (2.180378609374653 41.379097937082996),1
TRAJS_PAR_REC.fid-a0bf965_1809fdb150d_-30f3,3217529,257,Portal de la Pau,Pg. Colom (Govern Militar),0,,"Pg. Colom, 25 (Dir.Llobregat)",Barcelona,Ciutat Vella,Passeig de Colom,10,311.26138,0,0,0,2999,220,D20,Pg. Marítim / Ernest Lluch,2200,1,220-220,Pg. Marítim,Ernest Lluch,Pg. Marítim / Ernest Lluch,2,TB,5,Diagonals,10,220,1,2,101,Sentit Comercial Anada,1,A,Anada,2,0,2022-05-07,93117E,POINT (2.1784422836455692 41.37669963692269),1
TRAJS_PAR_REC.fid-a0bf965_1809fdb150d_-30f2,3217529,2617,Les Drassanes,Josep Carner/Pl. Drassanes,0,,"Josep Carner, 26-30",Barcelona,Ciutat Vella,Passeig de Josep Carner,11,272.32722,0,0,0,2999,220,D20,Pg. Marítim / Ernest Lluch,2200,1,220-220,Pg. Marítim,Ernest Lluch,Pg. Marítim / Ernest Lluch,2,TB,5,Diagonals,10,220,1,2,101,Sentit Comercial Anada,1,A,Anada,2,0,2022-05-07,93117E,POINT (2.176747377645749 41.374786419386936),1
TRAJS_PAR_REC.fid-a0bf965_1809fdb150d_-30f1,3217529,1326,Paral·lel - Drassanes,Av. Paral·lel/Drassanes,0,,"Av. Paral·lel, 25",Barcelona,Ciutat Vella,Avinguda del Paral·lel,12,204.6178,0,0,1,2999,220,D20,Pg. Marítim / Ernest Lluch,2200,1,220-220,Pg. Marítim,Ernest Lluch,Pg. Marítim / Ernest Lluch,2,TB,5,Diagonals,10,220,1,2,101,Sentit Comercial Anada,1,A,Anada,2,0,2022-05-07,93117E,POINT (2.1746403052954535 41.37478837449894),1
TRAJS_PAR_REC.fid-a0bf965_1809fdb150d_-30f0,3217529,1004,Metro Paral·lel,Av. Paral·lel/Nou de la Rambla,12,Paral·lel,"Av.Paral·lel, 54-58",Barcelona,Ciutat Vella,Avinguda del Paral·lel,13,337.22842,0,0,0,2999,220,D20,Pg. Marítim / Ernest Lluch,2200,1,220-220,Pg. Marítim,Ernest Lluch,Pg. Marítim / Ernest Lluch,2,TB,5,Diagonals,10,220,1,2,101,Sentit Comercial Anada,1,A,Anada,2,0,2022-05-07,93117E,POINT (2.170618930914126 41.37503140676714),1
TRAJS_PAR_REC.fid-a0bf965_1809fdb150d_-30ef,3217529,140,Paral·lel - Ronda Sant Pau,Av. Paral·lel/Rda. Sant Pau,0,,"Av.Paral·lel, 80",Barcelona,Eixample,Avinguda del Paral·lel,14,288.0789,0,0,0,2999,220,D20,Pg. Marítim / Ernest Lluch,2200,1,220-220,Pg. Marítim,Ernest Lluch,Pg. Marítim / Ernest Lluch,2,TB,5,Diagonals,10,220,1,2,101,Sentit Comercial Anada,1,A,Anada,2,0,2022-05-07,93117E,POINT (2.167171023936409 41.375061537430504),1
TRAJS_PAR_REC.fid-a0bf965_1809fdb150d_-30ee,3217529,209,Paral·lel - Marquès de Campo Sagrado,Paral·lel/Marquès de Campo Sagrado,0,,"Av.Paral·lel, 114",Barcelona,Eixample,Avinguda del Paral·lel,15,288.63891,0,0,0,2999,220,D20,Pg. Marítim / Ernest Lluch,2200,1,220-220,Pg. Marítim,Ernest Lluch,Pg. Marítim / Ernest Lluch,2,TB,5,Diagonals,10,220,1,2,101,Sentit Comercial Anada,1,A,Anada,2,0,2022-05-07,93117E,POINT (2.1637202285090296 41.37509638641384),1
TRAJS_PAR_REC.fid-a0bf965_1809fdb150d_-30ed,3217529,377,Paral·lel - Rocafort,Av. Paral·lel/Entença,83,Poble-sec,"Av. Paral·lel, 152",Barcelona,Eixample,Avinguda del Paral·lel,16,361.30465,0,0,0,2999,220,D20,Pg. Marítim / Ernest Lluch,2200,1,220-220,Pg. Marítim,Ernest Lluch,Pg. Marítim / Ernest Lluch,2,TB,5,Diagonals,10,220,1,2,101,Sentit Comercial Anada,1,A,Anada,2,0,2022-05-07,93117E,POINT (2.159399896545658 41.375107903427676),1
TRAJS_PAR_REC.fid-a0bf965_1809fdb150d_-30ec,3217529,3390,Paral·lel - Floridablanca,Av. Paral·lel/Floridablanca,83,Poble-sec,"Paral·lel, 178",Barcelona,Eixample,Avinguda del Paral·lel,17,373.31177,0,0,0,2999,220,D20,Pg. Marítim / Ernest Lluch,2200,1,220-220,Pg. Marítim,Ernest Lluch,Pg. Marítim / Ernest Lluch,2,TB,5,Diagonals,10,220,1,2,101,Sentit Comercial Anada,1,A,Anada,2,0,2022-05-07,93117E,POINT (2.154935965230564 41.375120280866916),1
TRAJS_PAR_REC.fid-a0bf965_1809fdb150d_-30eb,3217529,1185,Paral·lel - Av Mistral,Av. Paral·lel/Av. Mistral,0,,"Av. Paral·lel, 192 - 194",Barcelona,Eixample,Avinguda del Paral·lel,18,192.91604,0,0,0,2999,220,D20,Pg. Marítim / Ernest Lluch,2200,1,220-220,Pg. Marítim,Ernest Lluch,Pg. Marítim / Ernest Lluch,2,TB,5,Diagonals,10,220,1,2,101,Sentit Comercial Anada,1,A,Anada,2,0,2022-05-07,93117E,POINT (2.152629119321041 41.37512773809813),1
TRAJS_PAR_REC.fid-a0bf965_1809fdb150d_-30ea,3217529,3247,Gran Via - Pl  Espanya,Pl. Espanya/Gran Via C.Catalanes,1,Espanya,"Espanya, 1",Barcelona,Eixample,Plaça d'Espanya,19,262.69392,0,0,1,2999,220,D20,Pg. Marítim / Ernest Lluch,2200,1,220-220,Pg. Marítim,Ernest Lluch,Pg. Marítim / Ernest Lluch,2,TB,5,Diagonals,10,220,1,2,101,Sentit Comercial Anada,1,A,Anada,2,0,2022-05-07,93117E,POINT (2.1501872583993817 41.375495153567975),1
TRAJS_PAR_REC.fid-a0bf965_1809fdb150d_-30e9,3217529,3125,Metro Tarragona,Tarragona/València,0,,"Tarragona, 84-90 ",Barcelona,Sants-Montjuïc,Carrer de Tarragona,20,1247.09685,0,0,0,2999,220,D20,Pg. Marítim / Ernest Lluch,2200,1,220-220,Pg. Marítim,Ernest Lluch,Pg. Marítim / Ernest Lluch,2,TB,5,Diagonals,10,220,1,2,101,Sentit Comercial Anada,1,A,Anada,2,0,2022-05-07,93117E,POINT (2.145255012847276 41.37846722065939),1
TRAJS_PAR_REC.fid-a0bf965_1809fdb150d_-30e8,3217529,3324,Pl  Països Catalans,Viriat/Enric Bargés,11,Estació de Sants,"Viriat, 53",Barcelona,Sants-Montjuïc,Carrer de Viriat,21,408.25928,0,0,1,2999,220,D20,Pg. Marítim / Ernest Lluch,2200,1,220-220,Pg. Marítim,Ernest Lluch,Pg. Marítim / Ernest Lluch,2,TB,5,Diagonals,10,220,1,2,101,Sentit Comercial Anada,1,A,Anada,2,0,2022-05-07,93117E,POINT (2.1415367970608936 41.380610807002306),1
TRAJS_PAR_REC.fid-a0bf965_1809fdb150d_-30e7,3217529,3342,Comtes de Bell-lloc - Viriat,Comtes de Bell-lloc/Melcior de Palau,0,,"Comtes de Bell-lloc, 88-90",Barcelona,Sants-Montjuïc,Carrer dels Comtes de Bell-lloc,22,533.24173,0,0,0,2999,220,D20,Pg. Marítim / Ernest Lluch,2200,1,220-220,Pg. Marítim,Ernest Lluch,Pg. Marítim / Ernest Lluch,2,TB,5,Diagonals,10,220,1,2,101,Sentit Comercial Anada,1,A,Anada,2,0,2022-05-07,93117E,POINT (2.1374264096993407 41.38044908279461),1
TRAJS_PAR_REC.fid-a0bf965_1809fdb150d_-30e6,3217529,2690,Av Madrid - Joan Güell,Madrid/Pobla De Lillet ,0,,"Av Madrid, 159",Barcelona,Les Corts,Avinguda de Madrid,23,629.2454,0,0,0,2999,220,D20,Pg. Marítim / Ernest Lluch,2200,1,220-220,Pg. Marítim,Ernest Lluch,Pg. Marítim / Ernest Lluch,2,TB,5,Diagonals,10,220,1,2,101,Sentit Comercial Anada,1,A,Anada,2,0,2022-05-07,93117E,POINT (2.1315843619365618 41.380694472169736),1
TRAJS_PAR_REC.fid-a0bf965_1809fdb150d_-30e5,3217529,1752,Av Madrid - Carles III,Av. Madrid/Emèrita Augusta,0,,"Av. Madrid, 99-101",Barcelona,Les Corts,Avinguda de Madrid,24,391.86778,0,0,0,2999,220,D20,Pg. Marítim / Ernest Lluch,2200,1,220-220,Pg. Marítim,Ernest Lluch,Pg. Marítim / Ernest Lluch,2,TB,5,Diagonals,10,220,1,2,101,Sentit Comercial Anada,1,A,Anada,2,0,2022-05-07,93117E,POINT (2.1277060661349756 41.37871316523126),1
TRAJS_PAR_REC.fid-a0bf965_1809fdb150d_-30e4,3217529,1753,Av Madrid - Benavent,Av. Madrid/Benavent,0,,"Av. Madrid, 47",Barcelona,Les Corts,Avinguda de Madrid,25,241.7244,0,0,0,2999,220,D20,Pg. Marítim / Ernest Lluch,2200,1,220-220,Pg. Marítim,Ernest Lluch,Pg. Marítim / Ernest Lluch,2,TB,5,Diagonals,10,220,1,2,101,Sentit Comercial Anada,1,A,Anada,2,0,2022-05-07,93117E,POINT (2.125405852265112 41.37739260478993),1
TRAJS_PAR_REC.fid-a0bf965_1809fdb150d_-30e3,3217529,1373,Arizala - Les Corts,Arizala/Trav. de les Corts,0,,"Arizala, 66",Barcelona,Les Corts,Carrer d'Arizala,26,271.52514,0,0,0,2999,220,D20,Pg. Marítim / Ernest Lluch,2200,1,220-220,Pg. Marítim,Ernest Lluch,Pg. Marítim / Ernest Lluch,2,TB,5,Diagonals,10,220,1,2,101,Sentit Comercial Anada,1,A,Anada,2,0,2022-05-07,93117E,POINT (2.123686918074135 41.378573092741426),1
TRAJS_PAR_REC.fid-a0bf965_1809fdb150d_-30e2,3217529,1713,Les Corts - Aurora Bertrana,Corts/Pintor Tapiró,85,Collblanc,"Trav.de les Corts, 35-37",Barcelona,Les Corts,Travessera de les Corts,27,441.67362,0,0,1,2999,220,D20,Pg. Marítim / Ernest Lluch,2200,1,220-220,Pg. Marítim,Ernest Lluch,Pg. Marítim / Ernest Lluch,2,TB,5,Diagonals,10,220,1,2,101,Sentit Comercial Anada,1,A,Anada,2,0,2022-05-07,93117E,POINT (2.119820541674291 41.37705666497627),1
TRAJS_PAR_REC.fid-a0bf965_1809fdb150d_-30e1,3217529,1259,Collblanc - Cardenal Reig,Collblanc/Ptge Xile,0,,"Ctra. Collblanc, 104",Barcelona,Les Corts,Carrer de Collblanc,28,481.91275,0,0,0,2999,220,D20,Pg. Marítim / Ernest Lluch,2200,1,220-220,Pg. Marítim,Ernest Lluch,Pg. Marítim / Ernest Lluch,2,TB,5,Diagonals,10,220,1,2,101,Sentit Comercial Anada,1,A,Anada,2,0,2022-05-07,93117E,POINT (2.1146390084502737 41.37591909829384),1
TRAJS_PAR_REC.fid-a0bf965_1809fdb150d_-30e0,3217529,3286,Ernest Lluch,Camí Torre Melina/Collblanc,112,Ernest Lluch,"Torre Melina, 5",Barcelona,Les Corts,Camí de la Torre Melina,29,595.26917,0,1,1,2999,220,D20,Pg. Marítim / Ernest Lluch,2200,1,220-220,Pg. Marítim,Ernest Lluch,Pg. Marítim / Ernest Lluch,2,TB,5,Diagonals,10,220,1,2,101,Sentit Comercial Anada,1,A,Anada,2,0,2022-05-07,93117E,POINT (2.1121566533054663 41.37621592185976),1
TRAJS_PAR_REC.fid-a0bf965_1809fdb150d_-30df,3194659,3286,Ernest Lluch,Camí Torre Melina/Collblanc,112,Ernest Lluch,"Torre Melina, 5",Barcelona,Les Corts,Camí de la Torre Melina,1,0,1,0,1,2999,220,D20,Pg. Marítim / Ernest Lluch,2201,1,220-220,Ernest Lluch,Pg. Marítim,Pg. Marítim / Ernest Lluch,2,TB,5,Diagonals,10,220,1,2,102,Sentit Comercial Tornada,2,T,Tornada,2,0,2022-05-07,BE70B2,POINT (2.1121566533054663 41.37621592185976),1
